anno,provincia,comune,tipo_di_strada,condizioni_meteorologiche,natura_incidente,morti_entro_30_giorni,feriti,Ora,tipo_di_strada_txt,Ora_formattata
24,78,157,1,1,3,0,2,9.0,Senso unico,09:00
24,78,157,3,1,2,0,2,16.0,Due carreggiate,16:00
24,102,27,2,1,4,0,1,13.0,Doppio senso,13:00
24,80,96,2,1,3,0,1,20.0,Doppio senso,20:00
24,102,47,1,1,2,0,1,19.0,Senso unico,19:00
24,79,160,1,1,2,1,0,11.0,Senso unico,11:00
24,78,45,1,1,2,0,1,16.0,Senso unico,16:00
24,101,8,1,1,2,0,2,19.0,Senso unico,19:00
24,79,160,1,1,5,0,2,19.0,Senso unico,19:00
24,78,157,1,1,1,0,1,9.0,Senso unico,09:00
24,80,63,1,1,2,0,1,21.0,Senso unico,21:00
24,78,138,2,1,5,0,1,10.0,Doppio senso,10:00
24,78,157,2,1,3,0,1,18.0,Doppio senso,18:00
24,79,160,2,1,4,0,1,15.0,Doppio senso,15:00
24,80,63,1,1,2,0,1,11.0,Senso unico,11:00
24,78,10,2,1,3,0,1,20.0,Doppio senso,20:00
24,101,10,2,1,2,0,4,14.0,Doppio senso,14:00
24,102,47,2,1,2,0,1,8.0,Doppio senso,08:00
24,102,44,1,1,2,0,1,10.0,Senso unico,10:00
24,78,138,2,1,4,0,2,10.0,Doppio senso,10:00
24,80,69,2,1,10,0,1,10.0,Doppio senso,10:00
24,80,63,2,1,6,0,1,10.0,Doppio senso,10:00
24,78,102,2,1,3,0,1,9.0,Doppio senso,09:00
24,80,57,2,1,6,0,2,18.0,Doppio senso,18:00
24,78,101,1,1,3,0,1,13.0,Senso unico,13:00
24,80,57,2,1,1,0,1,12.0,Doppio senso,12:00
24,78,157,1,1,3,0,1,10.0,Senso unico,10:00
24,78,157,2,1,2,0,2,19.0,Doppio senso,19:00
24,78,157,2,1,6,0,1,15.0,Doppio senso,15:00
24,101,10,2,1,3,0,1,16.0,Doppio senso,16:00
24,79,160,2,1,2,0,2,13.0,Doppio senso,13:00
24,80,63,1,1,6,0,1,7.0,Senso unico,07:00
24,80,63,3,1,2,0,1,18.0,Due carreggiate,18:00
24,80,88,1,1,2,0,1,17.0,Senso unico,17:00
24,80,93,2,1,2,0,1,11.0,Doppio senso,11:00
24,80,63,2,1,5,0,1,14.0,Doppio senso,14:00
24,102,44,4,1,10,0,1,14.0,Più di due carreggiate,14:00
24,78,157,3,1,3,0,2,10.0,Due carreggiate,10:00
24,78,157,2,1,2,0,1,10.0,Doppio senso,10:00
24,78,45,1,1,2,0,1,11.0,Senso unico,11:00
24,80,63,1,1,5,0,1,20.0,Senso unico,20:00
24,102,47,2,1,2,0,1,10.0,Doppio senso,10:00
24,101,10,3,1,3,0,1,12.0,Due carreggiate,12:00
24,78,157,2,1,4,0,1,12.0,Doppio senso,12:00
24,80,50,4,1,10,0,1,11.0,Più di due carreggiate,11:00
24,78,45,1,1,2,0,1,10.0,Senso unico,10:00
24,80,88,2,1,3,0,1,12.0,Doppio senso,12:00
24,78,138,2,1,5,0,1,10.0,Doppio senso,10:00
24,78,45,2,3,2,0,1,14.0,Doppio senso,14:00
24,78,45,2,7,2,0,1,17.0,Doppio senso,17:00
24,80,63,2,1,2,0,1,12.0,Doppio senso,12:00
24,80,63,2,1,2,0,1,13.0,Doppio senso,13:00
24,80,63,1,1,12,0,1,14.0,Senso unico,14:00
24,80,63,1,1,1,0,1,17.0,Senso unico,17:00
24,80,88,1,1,2,0,1,18.0,Senso unico,18:00
24,80,63,2,1,2,0,1,9.0,Doppio senso,09:00
24,78,81,2,1,2,0,1,17.0,Doppio senso,17:00
24,78,45,2,1,5,0,1,8.0,Doppio senso,08:00
24,78,45,2,1,2,0,1,12.0,Doppio senso,12:00
24,80,63,2,1,5,0,1,9.0,Doppio senso,09:00
24,80,63,1,1,6,0,1,18.0,Senso unico,18:00
24,80,63,2,1,3,0,1,18.0,Doppio senso,18:00
24,80,88,2,1,2,0,1,14.0,Doppio senso,14:00
24,78,81,2,7,5,0,1,15.0,Doppio senso,15:00
24,78,101,2,1,6,0,1,19.0,Doppio senso,19:00
24,80,63,3,1,8,0,1,6.0,Due carreggiate,06:00
24,80,63,2,1,3,0,1,7.0,Doppio senso,07:00
24,80,63,1,1,4,0,3,17.0,Senso unico,17:00
24,80,63,2,1,2,0,1,19.0,Doppio senso,19:00
24,80,88,1,1,1,0,1,8.0,Senso unico,08:00
24,78,102,2,1,1,0,1,9.0,Doppio senso,09:00
24,101,10,1,1,2,0,2,13.0,Senso unico,13:00
24,80,63,3,1,2,0,2,18.0,Due carreggiate,18:00
24,101,10,1,1,2,0,1,18.0,Senso unico,18:00
24,78,102,4,1,2,0,2,13.0,Più di due carreggiate,13:00
24,78,157,2,1,2,0,2,14.0,Doppio senso,14:00
24,78,157,2,1,4,0,1,8.0,Doppio senso,08:00
24,78,45,1,1,4,0,1,22.0,Senso unico,22:00
24,80,63,1,1,2,0,2,1.0,Senso unico,01:00
24,80,63,3,1,5,0,1,13.0,Due carreggiate,13:00
24,80,63,1,1,2,0,1,9.0,Senso unico,09:00
24,78,10,2,1,2,0,1,18.0,Doppio senso,18:00
24,78,102,2,3,7,0,1,14.0,Doppio senso,14:00
24,80,63,2,7,5,0,1,12.0,Doppio senso,12:00
24,102,44,2,1,5,0,1,18.0,Doppio senso,18:00
24,79,160,2,7,11,0,1,17.0,Doppio senso,17:00
24,80,63,2,3,2,0,1,20.0,Doppio senso,20:00
24,101,10,1,1,2,0,1,12.0,Senso unico,12:00
24,79,160,2,1,2,0,1,11.0,Doppio senso,11:00
24,80,63,2,1,2,0,1,18.0,Doppio senso,18:00
24,79,160,2,3,2,0,2,13.0,Doppio senso,13:00
24,80,63,1,1,3,0,1,12.0,Senso unico,12:00
24,102,47,2,1,10,0,1,10.0,Doppio senso,10:00
24,80,63,2,1,3,0,1,1.0,Doppio senso,01:00
24,80,63,2,7,4,0,1,7.0,Doppio senso,07:00
24,80,63,2,1,2,0,1,20.0,Doppio senso,20:00
24,101,10,2,1,3,0,3,18.0,Doppio senso,18:00
24,78,45,1,3,2,0,1,8.0,Senso unico,08:00
24,101,10,1,1,5,0,1,15.0,Senso unico,15:00
24,78,45,2,1,3,0,1,17.0,Doppio senso,17:00
24,101,10,2,1,4,0,2,18.0,Doppio senso,18:00
24,78,45,1,7,2,0,1,7.0,Senso unico,07:00
24,80,63,2,1,2,0,1,10.0,Doppio senso,10:00
24,79,160,2,1,1,0,1,12.0,Doppio senso,12:00
24,80,63,2,1,3,0,1,19.0,Doppio senso,19:00
24,79,160,1,1,2,0,1,15.0,Senso unico,15:00
24,78,102,2,1,2,0,1,13.0,Doppio senso,13:00
24,102,44,2,1,2,0,1,14.0,Doppio senso,14:00
24,79,160,2,1,2,0,1,13.0,Doppio senso,13:00
24,80,43,2,1,2,0,1,12.0,Doppio senso,12:00
24,78,157,2,1,3,0,2,9.0,Doppio senso,09:00
24,78,45,2,7,5,0,1,11.0,Doppio senso,11:00
24,78,45,1,1,2,0,2,17.0,Senso unico,17:00
24,80,63,1,7,8,0,1,15.0,Senso unico,15:00
24,80,63,1,7,3,0,1,13.0,Senso unico,13:00
24,78,33,2,1,3,0,1,16.0,Doppio senso,16:00
24,78,102,1,1,2,0,2,8.0,Senso unico,08:00
24,80,69,2,1,7,0,1,9.0,Doppio senso,09:00
24,80,63,2,1,2,0,1,9.0,Doppio senso,09:00
24,79,160,1,1,6,0,1,16.0,Senso unico,16:00
24,78,157,2,1,2,0,2,10.0,Doppio senso,10:00
24,80,96,2,1,3,0,1,14.0,Doppio senso,14:00
24,80,63,2,1,5,0,2,11.0,Doppio senso,11:00
24,101,8,2,1,2,0,1,10.0,Doppio senso,10:00
24,80,88,1,1,3,0,2,8.0,Senso unico,08:00
24,78,45,2,1,1,0,1,12.0,Doppio senso,12:00
24,80,63,1,1,3,0,2,8.0,Senso unico,08:00
24,80,63,1,1,3,0,1,13.0,Senso unico,13:00
24,102,47,2,1,2,0,1,17.0,Doppio senso,17:00
24,79,160,2,1,5,0,1,17.0,Doppio senso,17:00
24,78,102,2,1,2,0,1,14.0,Doppio senso,14:00
24,101,10,2,1,5,0,1,15.0,Doppio senso,15:00
24,80,96,2,1,5,0,1,18.0,Doppio senso,18:00
24,80,96,2,1,1,0,1,16.0,Doppio senso,16:00
24,101,10,3,1,4,0,1,15.0,Due carreggiate,15:00
24,78,138,2,1,4,0,2,9.0,Doppio senso,09:00
24,78,45,2,1,1,0,1,18.0,Doppio senso,18:00
24,80,88,2,1,3,0,1,13.0,Doppio senso,13:00
24,79,160,2,1,3,0,1,17.0,Doppio senso,17:00
24,78,102,2,1,2,0,1,13.0,Doppio senso,13:00
24,101,10,2,1,4,0,1,17.0,Doppio senso,17:00
24,78,157,2,1,10,0,1,14.0,Doppio senso,14:00
24,102,47,2,1,3,0,2,8.0,Doppio senso,08:00
24,101,10,1,1,4,0,1,12.0,Senso unico,12:00
24,79,160,1,1,2,0,1,12.0,Senso unico,12:00
24,78,102,2,1,2,0,2,8.0,Doppio senso,08:00
24,102,47,2,1,3,0,1,13.0,Doppio senso,13:00
24,78,45,2,1,2,0,2,13.0,Doppio senso,13:00
24,78,81,2,1,5,0,2,11.0,Doppio senso,11:00
24,102,47,2,1,2,0,2,17.0,Doppio senso,17:00
24,78,157,2,1,4,0,1,11.0,Doppio senso,11:00
24,80,63,2,1,4,0,1,17.0,Doppio senso,17:00
24,78,102,2,1,1,0,1,8.0,Doppio senso,08:00
24,101,10,1,1,2,0,1,14.0,Senso unico,14:00
24,79,160,2,1,2,0,1,11.0,Doppio senso,11:00
24,80,63,2,1,3,0,1,19.0,Doppio senso,19:00
24,78,157,2,1,4,0,1,15.0,Doppio senso,15:00
24,80,63,1,1,2,0,2,16.0,Senso unico,16:00
24,80,57,1,1,3,0,2,13.0,Senso unico,13:00
24,102,47,1,1,2,0,1,12.0,Senso unico,12:00
24,80,63,1,7,2,0,1,7.0,Senso unico,07:00
24,80,63,1,1,4,0,1,21.0,Senso unico,21:00
24,78,45,1,1,5,0,1,14.0,Senso unico,14:00
24,80,63,2,1,2,0,2,10.0,Doppio senso,10:00
24,80,63,2,1,2,0,1,23.0,Doppio senso,23:00
24,80,63,2,1,2,0,1,23.0,Doppio senso,23:00
24,102,44,2,1,2,0,1,11.0,Doppio senso,11:00
24,79,160,2,7,5,0,1,19.0,Doppio senso,19:00
24,78,45,1,1,1,0,1,14.0,Senso unico,14:00
24,78,157,2,1,4,0,3,15.0,Doppio senso,15:00
24,78,33,1,1,5,0,1,17.0,Senso unico,17:00
24,80,63,2,1,5,0,1,14.0,Doppio senso,14:00
24,78,45,2,1,5,0,1,10.0,Doppio senso,10:00
24,78,102,2,1,4,0,3,8.0,Doppio senso,08:00
24,79,160,2,1,3,0,1,16.0,Doppio senso,16:00
24,101,10,3,1,4,0,1,15.0,Due carreggiate,15:00
24,78,45,2,1,4,0,2,8.0,Doppio senso,08:00
24,78,45,2,1,1,0,2,18.0,Doppio senso,18:00
24,80,63,1,1,3,0,1,8.0,Senso unico,08:00
24,101,10,2,1,8,0,1,11.0,Doppio senso,11:00
24,78,3,2,1,4,0,3,16.0,Doppio senso,16:00
24,80,63,1,7,3,0,2,7.0,Senso unico,07:00
24,80,63,1,1,8,0,1,10.0,Senso unico,10:00
24,80,63,2,7,3,0,1,11.0,Doppio senso,11:00
24,78,45,2,1,5,0,1,8.0,Doppio senso,08:00
24,101,10,2,3,5,0,1,19.0,Doppio senso,19:00
24,78,81,2,2,4,0,3,13.0,Doppio senso,13:00
24,79,160,2,3,10,0,1,13.0,Doppio senso,13:00
24,102,47,2,3,2,0,2,8.0,Doppio senso,08:00
24,80,63,2,3,8,0,2,0.0,Doppio senso,00:00
24,80,63,2,7,5,0,1,9.0,Doppio senso,09:00
24,101,10,2,3,10,0,1,16.0,Doppio senso,16:00
24,78,45,1,1,5,0,1,12.0,Senso unico,12:00
24,101,10,1,1,2,0,1,9.0,Senso unico,09:00
24,80,63,2,1,3,0,2,15.0,Doppio senso,15:00
24,80,63,2,1,6,0,1,23.0,Doppio senso,23:00
24,78,33,2,1,6,0,4,17.0,Doppio senso,17:00
24,78,10,2,1,10,0,2,13.0,Doppio senso,13:00
24,80,63,2,1,2,0,1,7.0,Doppio senso,07:00
24,80,63,1,1,3,0,1,8.0,Senso unico,08:00
24,101,10,2,1,3,0,1,10.0,Doppio senso,10:00
24,79,160,2,1,2,0,1,16.0,Doppio senso,16:00
24,78,45,2,1,10,0,1,15.0,Doppio senso,15:00
24,80,88,2,1,3,0,1,15.0,Doppio senso,15:00
24,78,102,2,1,2,0,1,18.0,Doppio senso,18:00
24,80,63,1,1,2,0,2,19.0,Senso unico,19:00
24,79,160,2,1,3,0,1,12.0,Doppio senso,12:00
24,101,10,3,1,4,0,3,17.0,Due carreggiate,17:00
24,80,63,2,1,1,0,1,18.0,Doppio senso,18:00
24,78,45,2,1,2,0,1,14.0,Doppio senso,14:00
24,78,102,2,1,2,0,3,7.0,Doppio senso,07:00
24,79,160,2,1,2,0,1,16.0,Doppio senso,16:00
24,78,102,2,1,2,0,1,18.0,Doppio senso,18:00
24,78,157,2,1,2,0,1,18.0,Doppio senso,18:00
24,80,63,2,1,3,0,1,10.0,Doppio senso,10:00
24,80,63,1,1,4,0,1,11.0,Senso unico,11:00
24,80,63,1,1,2,0,1,16.0,Senso unico,16:00
24,78,45,2,1,4,0,3,9.0,Doppio senso,09:00
24,101,10,4,1,5,0,2,15.0,Più di due carreggiate,15:00
24,79,160,2,1,4,0,2,16.0,Doppio senso,16:00
24,78,45,2,1,2,0,1,18.0,Doppio senso,18:00
24,101,10,1,1,4,0,2,16.0,Senso unico,16:00
24,79,160,2,1,12,0,1,8.0,Doppio senso,08:00
24,78,102,2,1,4,0,2,17.0,Doppio senso,17:00
24,78,138,1,1,6,0,1,11.0,Senso unico,11:00
24,80,96,2,1,2,0,1,16.0,Doppio senso,16:00
24,80,63,1,1,6,0,1,15.0,Senso unico,15:00
24,78,45,2,1,6,0,2,8.0,Doppio senso,08:00
24,78,102,1,1,4,0,1,18.0,Senso unico,18:00
24,78,10,2,1,1,0,2,12.0,Doppio senso,12:00
24,78,157,3,1,3,0,2,10.0,Due carreggiate,10:00
24,78,102,1,1,4,0,2,17.0,Senso unico,17:00
24,78,157,2,1,2,0,3,15.0,Doppio senso,15:00
24,80,63,1,1,2,0,1,12.0,Senso unico,12:00
24,80,63,1,1,3,0,2,16.0,Senso unico,16:00
24,80,88,2,7,1,0,1,9.0,Doppio senso,09:00
24,78,138,3,1,6,0,2,13.0,Due carreggiate,13:00
24,79,160,2,1,1,0,1,9.0,Doppio senso,09:00
24,79,160,2,1,2,0,1,11.0,Doppio senso,11:00
24,80,63,1,7,3,0,2,12.0,Senso unico,12:00
24,80,93,1,1,5,0,1,17.0,Senso unico,17:00
24,78,3,2,1,4,0,3,14.0,Doppio senso,14:00
24,79,160,2,1,2,0,1,14.0,Doppio senso,14:00
24,80,96,2,1,3,0,1,15.0,Doppio senso,15:00
24,80,63,2,1,3,0,1,9.0,Doppio senso,09:00
24,80,63,1,3,2,0,1,20.0,Senso unico,20:00
24,78,45,2,1,3,0,4,11.0,Doppio senso,11:00
24,101,10,2,1,3,0,1,8.0,Doppio senso,08:00
24,79,160,2,1,4,0,1,13.0,Doppio senso,13:00
24,78,102,2,1,3,0,1,19.0,Doppio senso,19:00
24,78,33,2,1,4,0,3,8.0,Doppio senso,08:00
24,102,47,2,1,3,0,1,9.0,Doppio senso,09:00
24,78,102,2,1,2,0,1,18.0,Doppio senso,18:00
24,78,81,2,7,3,0,1,10.0,Doppio senso,10:00
24,78,102,1,1,2,0,1,11.0,Senso unico,11:00
24,78,45,1,7,2,0,1,13.0,Senso unico,13:00
24,80,43,2,1,5,0,0,9.0,Doppio senso,09:00
24,80,88,2,3,4,0,1,8.0,Doppio senso,08:00
24,78,102,2,1,2,0,2,15.0,Doppio senso,15:00
24,80,63,1,3,8,0,1,4.0,Senso unico,04:00
24,80,63,1,6,8,0,2,18.0,Senso unico,18:00
24,101,10,3,1,4,0,2,12.0,Due carreggiate,12:00
24,78,138,1,1,1,0,1,15.0,Senso unico,15:00
24,80,88,1,1,3,0,2,16.0,Senso unico,16:00
24,78,102,1,1,2,0,1,18.0,Senso unico,18:00
24,80,63,2,1,2,0,1,12.0,Doppio senso,12:00
24,80,63,1,1,2,0,1,19.0,Senso unico,19:00
24,101,10,1,1,3,0,1,14.0,Senso unico,14:00
24,101,10,1,1,3,0,2,8.0,Senso unico,08:00
24,80,63,3,1,3,0,1,8.0,Due carreggiate,08:00
24,78,45,2,7,2,0,1,13.0,Doppio senso,13:00
24,101,10,2,1,3,0,1,16.0,Doppio senso,16:00
24,78,81,2,7,5,0,1,12.0,Doppio senso,12:00
24,102,47,2,3,2,0,1,9.0,Doppio senso,09:00
24,78,45,2,3,10,0,3,11.0,Doppio senso,11:00
24,101,10,2,1,4,0,2,12.0,Doppio senso,12:00
24,80,63,1,1,7,0,1,7.0,Senso unico,07:00
24,80,63,1,1,2,0,2,8.0,Senso unico,08:00
24,78,45,2,7,10,0,1,12.0,Doppio senso,12:00
24,79,160,2,1,3,0,1,7.0,Doppio senso,07:00
24,79,160,1,1,4,0,1,15.0,Senso unico,15:00
24,80,63,2,3,2,0,1,0.0,Doppio senso,00:00
24,78,45,1,1,3,0,1,10.0,Senso unico,10:00
24,78,102,2,1,2,0,1,11.0,Doppio senso,11:00
24,78,10,2,1,3,0,1,17.0,Doppio senso,17:00
24,78,45,2,1,5,0,1,8.0,Doppio senso,08:00
24,78,45,2,7,5,0,1,18.0,Doppio senso,18:00
24,102,44,2,3,5,0,1,11.0,Doppio senso,11:00
24,78,157,1,1,2,0,1,10.0,Senso unico,10:00
24,79,160,1,1,2,0,2,14.0,Senso unico,14:00
24,78,45,1,1,2,0,1,10.0,Senso unico,10:00
24,79,160,2,1,2,0,2,11.0,Doppio senso,11:00
